name,year,month,day,minlat,maxlat,minlon,maxlon,clouds_num,avg_size,mean_temperature,mean_wind_speed,mean_wind_direction,reletive_humidity,vertical_velocity
20190801-10-9-93-92,2019,8,1,-10,-9,-93,-92,28,134.71875,19.392205810546898,9.54571,143.22469,71.33898,0.017917976
20190801-11-10-93-92,2019,8,1,-11,-10,-93,-92,27,159.9375,18.789849853515648,10.200725,144.37447,73.49976,0.021365242
20190801-11-10-94-93,2019,8,1,-11,-10,-94,-93,28,238.75,19.028527832031273,10.2531185,147.55498,73.29289,0.021179695
20190801-11-10-95-94,2019,8,1,-11,-10,-95,-94,13,375.3125,19.343469238281273,10.229515,150.72949,72.954926,0.018821297
20190801-12-11-92-91,2019,8,1,-12,-11,-92,-91,28,237.78125,17.997827148437523,10.570037,144.30614,75.09867,0.018586922
20190801-12-11-93-92,2019,8,1,-12,-11,-93,-92,1,2554.6875,18.337426757812523,10.57679,147.37471,74.57398,0.01983204
20190801-12-11-94-93,2019,8,1,-12,-11,-94,-93,19,169.0625,18.708062744140648,10.591484,150.7793,74.86508,0.023616219
20190801-12-11-95-94,2019,8,1,-12,-11,-95,-94,20,183.75,19.098992919921898,10.571181,153.44617,74.026955,0.023093758
20190801-13-12-92-91,2019,8,1,-13,-12,-92,-91,14,505.53125,17.623529052734398,11.129586,148.12273,73.76883,0.014690437
20190801-13-12-93-92,2019,8,1,-13,-12,-93,-92,21,253.125,17.962976074218773,11.083296,150.50824,75.26336,0.015291023
20190801-13-12-94-93,2019,8,1,-13,-12,-94,-93,23,208.75,18.417199707031273,10.965254,153.22336,75.61539,0.015505867
20190801-13-12-95-94,2019,8,1,-13,-12,-95,-94,35,155.84375,18.754479980468773,11.072824,155.79535,76.3818,0.013274422
20190801-13-12-96-95,2019,8,1,-13,-12,-96,-95,17,118.9375,19.049310302734398,10.838104,158.15431,75.341644,0.016003914
20190801-14-13-92-91,2019,8,1,-14,-13,-92,-91,18,370.21875,17.536889648437523,11.941454,151.81836,72.32508,0.011218757
20190801-14-13-93-92,2019,8,1,-14,-13,-93,-92,8,461.84375,17.675714111328148,11.659462,153.19997,73.48305,0.009680672
20190801-14-13-94-93,2019,8,1,-14,-13,-94,-93,27,142.875,17.908532714843773,11.532179,153.79681,74.95992,0.011228523
20190801-14-13-95-94,2019,8,1,-14,-13,-95,-94,17,232.3125,18.211724853515648,11.631947,155.29066,75.83164,0.01500782
20190801-14-13-96-95,2019,8,1,-14,-13,-96,-95,19,178.9375,18.513146972656273,11.336033,158.0185,75.746956,0.0062431716
20190801-14-13-97-96,2019,8,1,-14,-13,-97,-96,29,108.1875,18.755792236328148,10.923937,160.6684,75.1718,0.021018563
20190801-15-14-93-92,2019,8,1,-15,-14,-93,-92,11,335.4375,17.584313964843773,12.354663,156.5866,71.113205,0.014978523
20190801-15-14-94-93,2019,8,1,-15,-14,-94,-93,18,279.625,17.507836914062523,11.996306,157.03833,72.62102,0.015652351
20190801-15-14-96-95,2019,8,1,-15,-14,-96,-95,23,224.75,17.918542480468773,11.832512,159.18002,75.66633,0.022356452
20190801-15-14-97-96,2019,8,1,-15,-14,-97,-96,27,146.5,18.180322265625023,11.725638,162.17387,76.56305,0.018108405
20190801-16-15-97-96,2019,8,1,-16,-15,-97,-96,10,575.875,17.852136230468773,11.930689,165.11449,76.34664,0.02306446
20190802-13-12-86-85,2019,8,2,-13,-12,-86,-85,12,278.375,17.124597167968773,11.425116,152.40678,81.62093,-7.076263e-05
20190802-16-15-89-88,2019,8,2,-16,-15,-89,-88,24,191.875,16.604608154296898,13.248462,157.09564,79.24781,0.011926307
20190802-16-15-90-89,2019,8,2,-16,-15,-90,-89,21,298.5,16.804132080078148,13.105871,157.47646,79.62578,0.012878456
20190802-17-16-87-86,2019,8,2,-17,-16,-87,-86,16,118.1875,15.884454345703148,14.034939,156.68817,74.09671,0.02343998
20190802-17-16-89-88,2019,8,2,-17,-16,-89,-88,17,566.21875,16.261804199218773,13.170721,157.7468,78.45984,0.02085697
20190802-17-16-90-89,2019,8,2,-17,-16,-90,-89,22,269.25,16.420007324218773,13.036271,159.88286,79.509995,0.035061073
20190802-17-16-91-90,2019,8,2,-17,-16,-91,-90,28,257.78125,16.713037109375023,13.140355,164.85426,79.090775,0.033781778
20190802-18-17-87-86,2019,8,2,-18,-17,-87,-86,18,70.8125,15.596246337890648,14.026366,158.16742,73.6964,0.026955605
20190802-18-17-88-87,2019,8,2,-18,-17,-88,-87,13,196.8125,15.672875976562523,13.781061,159.79729,75.87234,0.032546423
20190802-18-17-89-88,2019,8,2,-18,-17,-89,-88,18,284.25,15.941491699218773,13.396156,162.13974,75.60234,0.02651615
20190802-18-17-90-89,2019,8,2,-18,-17,-90,-89,22,240.1875,16.127954101562523,13.1573515,165.61505,77.55234,0.03163334
20190802-18-17-91-90,2019,8,2,-18,-17,-91,-90,12,660.8125,16.425775146484398,13.234673,168.96352,77.878586,0.025207557
20190802-19-18-89-88,2019,8,2,-19,-18,-89,-88,9,435.0,15.497186279296898,13.547988,166.43712,76.08078,0.030256385
20190802-19-18-90-89,2019,8,2,-19,-18,-90,-89,13,459.25,15.718438720703148,13.4428835,170.01427,76.38671,0.02420658
20190802-19-18-91-90,2019,8,2,-19,-18,-91,-90,7,1120.3125,15.945397949218773,13.309016,173.73988,76.09062,0.026848182
20190802-20-19-90-89,2019,8,2,-20,-19,-90,-89,7,297.6875,15.203820800781273,13.397972,173.38777,76.628746,0.017985879
20190803-13-12-91-90,2019,8,3,-13,-12,-91,-90,37,115.125,17.854913330078148,9.108377,163.63557,78.9671,0.022608643
